"","CustomerID","ProdTaken","Age","TypeofContact","DurationOfPitch","Occupation","Gender","NumberOfPersonVisiting","NumberOfFollowups","ProductPitched","PreferredPropertyStar","MaritalStatus","NumberOfTrips","Passport","PitchSatisfactionScore","OwnCar","NumberOfChildrenVisiting","Designation","MonthlyIncome"
"CustomerID",1,0.0580657176154784,-0.0174536199798868,-0.0191671238700477,0.0699045970739717,-0.00439223555476804,-0.0232662442119794,0.600325499955507,0.424753323295054,-0.109999954428603,0.0152917260067133,0.166362664888943,0.209335442017367,0.00563660129644237,-0.0328126276195933,0.0141624938786947,0.492726898028833,-0.0392224231916957,0.196671925483024
"ProdTaken",0.0580657176154784,1,-0.160030559212328,-0.063103207874058,0.0731971749034692,-0.0713865346523712,0.0570818529394875,0.0312450252162401,0.0987681769075606,-0.188079134530565,0.0929145616992823,0.117946246146997,0.0120522298443379,0.264635843949228,0.0509579400892856,-0.0213005721229456,-0.00527452193328423,-0.132710887990474,-0.152498563205043
"Age",-0.0174536199798868,-0.160030559212328,1,0.00736842669576269,0.0163677430252038,-0.000788706523556069,-0.0240573671895682,-0.0369120248088771,-0.0321373697225344,0.442968871372729,-0.0536311519947864,-0.107595662409859,0.167949517772135,0.0365454258476781,-0.014997523139181,0.0371861125062504,-0.0392092139291199,0.207397859624344,0.412819396589144
"TypeofContact",-0.0191671238700477,-0.063103207874058,0.00736842669576269,1,0.00265379190484212,-0.0403129137877637,-0.0421128409927629,-0.00933562222611899,-0.0362686330133895,-0.0142034468857039,0.0471914488321673,-0.0263918671857905,-0.00452116115055385,-0.027619081008297,-0.00245105361182608,0.0260101369567688,0.0161662059139613,-0.0149328579345161,0.00360900955957107
"DurationOfPitch",0.0699045970739717,0.0731971749034692,0.0163677430252038,0.00265379190484212,1,0.0511795577165906,0.0183794504839962,0.0739524947250486,0.0187633710609224,0.0184008397196428,-0.0282594491783885,-0.0484050726162018,0.00748633320011088,0.0485542052988074,0.0184716151318521,0.00894059759483137,0.0404927836429389,0.018725071860769,0.0119142274987284
"Occupation",-0.00439223555476804,-0.0713865346523712,-0.000788706523556069,-0.0403129137877637,0.0511795577165906,1,-0.0166343175503362,-0.0104529085195399,-0.0321682761674391,-0.0132488310292041,0.0122730359120474,-0.029324312565395,-0.0171879485627276,0.030951149179481,-0.0660731999405339,-0.0487473474969027,0.0156137738521353,-0.0342049004804636,0.0120375856566242
"Gender",-0.0232662442119794,0.0570818529394875,-0.0240573671895682,-0.0421128409927629,0.0183794504839962,-0.0166343175503362,1,-0.0226200963183908,-0.00251243817024403,-0.0854704958832791,-0.0626332258082508,-0.0450467975751458,0.0146848053126355,-0.00386165562284909,-0.0274018532455947,-0.0244762743210101,0.00842185193253036,-0.046706203493871,-0.0562578184953479
"NumberOfPersonVisiting",0.600325499955507,0.0312450252162401,-0.0369120248088771,-0.00933562222611899,0.0739524947250486,-0.0104529085195399,-0.0226200963183908,1,0.323083642756862,-0.1378485550392,0.0401700747852694,0.0220376738963765,0.173476930954548,-0.00857730431125151,-0.00259826980111432,0.0151963607683003,0.612166036205303,-0.0749565450571285,0.0968051909713221
"NumberOfFollowups",0.424753323295054,0.0987681769075606,-0.0321373697225344,-0.0362686330133895,0.0187633710609224,-0.0321682761674391,-0.00251243817024403,0.323083642756862,1,-0.0386967768659546,-0.0176523109485866,0.110771933615924,0.095074827742182,0.00233331909276764,0.00819181928387334,0.00971477771229428,0.277560372274707,-0.0113552954149358,0.129629145430189
"ProductPitched",-0.109999954428603,-0.188079134530565,0.442968871372729,-0.0142034468857039,0.0184008397196428,-0.0132488310292041,-0.0854704958832791,-0.1378485550392,-0.0386967768659546,1,-0.0026714639400006,-0.0326141027781554,0.00380706470417437,-0.00692501830698891,0.048362649112417,0.0507646824886158,-0.0728302850840237,0.45224691614357,0.73701423113771
"PreferredPropertyStar",0.0152917260067133,0.0929145616992823,-0.0536311519947864,0.0471914488321673,-0.0282594491783885,0.0122730359120474,-0.0626332258082508,0.0401700747852694,-0.0176523109485866,-0.0026714639400006,1,-0.0148577195127454,0.023011637289338,0.0364524985254913,-0.0247573540982921,0.0125007671203572,0.0512196002312476,0.0250482929050667,0.00297418430916897
"MaritalStatus",0.166362664888943,0.117946246146997,-0.107595662409859,-0.0263918671857905,-0.0484050726162018,-0.029324312565395,-0.0450467975751458,0.0220376738963765,0.110771933615924,-0.0326141027781554,-0.0148577195127454,1,0.000195616160093471,-0.0482375515017097,-0.0354101345425264,0.00682914774980152,0.0255461387304879,0.0174025985897264,-0.025370710791002
"NumberOfTrips",0.209335442017367,0.0120522298443379,0.167949517772135,-0.00452116115055385,0.00748633320011088,-0.0171879485627276,0.0146848053126355,0.173476930954548,0.095074827742182,0.00380706470417437,0.023011637289338,0.000195616160093471,1,0.00395305089518238,-0.0440724548717512,-0.0219496763473873,0.154395775338187,0.00183138475524473,0.083745189243505
"Passport",0.00563660129644237,0.264635843949228,0.0365454258476781,-0.027619081008297,0.0485542052988074,0.030951149179481,-0.00386165562284909,-0.00857730431125151,0.00233331909276764,-0.00692501830698891,0.0364524985254913,-0.0482375515017097,0.00395305089518238,1,-0.00759256372030031,-0.0182943418019288,0.00787765168824681,-0.0301437094472364,0.0138607240322583
"PitchSatisfactionScore",-0.0328126276195933,0.0509579400892856,-0.014997523139181,-0.00245105361182608,0.0184716151318521,-0.0660731999405339,-0.0274018532455947,-0.00259826980111432,0.00819181928387334,0.048362649112417,-0.0247573540982921,-0.0354101345425264,-0.0440724548717512,-0.00759256372030031,1,0.0923084383788455,-0.00131312447577016,-0.0119317959912776,0.0532834406206333
"OwnCar",0.0141624938786947,-0.0213005721229456,0.0371861125062504,0.0260101369567688,0.00894059759483137,-0.0487473474969027,-0.0244762743210101,0.0151963607683003,0.00971477771229428,0.0507646824886158,0.0125007671203572,0.00682914774980152,-0.0219496763473873,-0.0182943418019288,0.0923084383788455,1,0.0492991025902443,0.0563250337148008,0.0539005559070024
"NumberOfChildrenVisiting",0.492726898028833,-0.00527452193328423,-0.0392092139291199,0.0161662059139613,0.0404927836429389,0.0156137738521353,0.00842185193253036,0.612166036205303,0.277560372274707,-0.0728302850840237,0.0512196002312476,0.0255461387304879,0.154395775338187,0.00787765168824681,-0.00131312447577016,0.0492991025902443,1,-0.0138847705079406,0.139682231322351
