CustomerID,NumberOfTrips,NumberOfPersonVisiting,Age,TypeofContact,CityTier,DurationOfPitch,Occupation,Gender,NumberOfFollowups,ProductPitched,PreferredPropertyStar,MaritalStatus,Passport,PitchSatisfactionScore,OwnCar,NumberOfChildrenVisiting,Designation,MonthlyIncome,,,,,,
200000,1,3,41,Self Enquiry,3,6,Salaried,Female,3,Deluxe,3,Single,1,2,1,0,Manager,20993,,,,,,
200002,7,3,37,Self Enquiry,1,8,Free Lancer,Male,4,Basic,3,Single,1,3,0,0,Executive,17090,,Variable,Count,Mean,Min,Max
200014,6,2,28,Self Enquiry,1,30,Salaried,Male,4,Basic,3,Single,1,2,0,0,Executive,17028,,NumberOfTrips,,0,1,20
200024,3,2,34,Self Enquiry,1,12,Small Business,Male,3,Basic,5,Single,0,2,1,1,Executive,17960,,1,96,,,
200033,4,2,39,Self Enquiry,3,11,Large Business,Male,3,Deluxe,3,Divorced,0,2,0,1,Manager,17086,,2,283,,,
200034,3,3,24,Self Enquiry,1,6,Small Business,Male,3,Basic,3,Divorced,1,3,1,2,Executive,17293,,3,208,,,
200036,2,2,50,Self Enquiry,3,9,Small Business,Male,4,Basic,3,Divorced,1,4,0,0,Executive,17683,,4,59,,,
200042,2,2,26,Self Enquiry,1,31,Salaried,Male,5,Basic,3,Single,0,2,1,1,Executive,17293,,5,62,,,
200045,2,2,41,Self Enquiry,1,18,Large Business,Female,3,King,3,Divorced,0,4,1,0,VP,34545,,6,57,,,
200050,1,3,48,Self Enquiry,1,6,Salaried,Male,4,Standard,3,Single,1,5,0,2,Senior Manager,20381,,7,58,,,
200089,2,3,46,Self Enquiry,3,15,Small Business,Male,4,Standard,3,Unmarried,0,5,0,1,Senior Manager,24619,,8,29,,,
200100,5,3,37,Self Enquiry,2,12,Salaried,Male,3,Basic,5,Married,1,2,1,0,Executive,17073,,19,1,,,
200102,2,3,20,Company Invited,1,12,Salaried,Female,4,Basic,3,Single,1,2,1,1,Executive,17926,,20,1,,,
200107,2,2,25,Self Enquiry,3,11,Small Business,Male,4,Deluxe,3,Single,1,3,1,0,Manager,20744,,NumberOfPersonVisiting,,2.948036952,2,4
200111,2,3,34,Company Invited,1,13,Salaried,Male,5,Deluxe,3,Single,1,5,1,1,Manager,21074,,2,238,,,
200122,1,3,56,Self Enquiry,1,20,Salaried,Female,,Basic,4,Divorced,1,5,1,1,Executive,19963,,3,435,,,
200124,5,3,31,Self Enquiry,3,12,Salaried,Male,5,Deluxe,3,Divorced,1,3,1,1,Manager,21172,,4,193,,,
200126,2,3,58,Self Enquiry,1,29,Small Business,Female,3,Standard,3,Divorced,0,3,1,0,Senior Manager,25312,,,,,,
200127,2,2,19,Self Enquiry,3,28,Small Business,Male,3,Basic,3,Single,1,2,0,1,Executive,16675,,,,,,
200132,4,3,31,Self Enquiry,3,,Salaried,Female,5,Deluxe,3,Divorced,1,3,1,0,Manager,19559,,,,,,
200136,3,2,51,Company Invited,1,14,Salaried,Male,5,Standard,3,Unmarried,0,2,0,1,Senior Manager,25650,,,,,,
200171,1,3,19,Company Invited,3,6,Large Business,Female,5,Basic,5,Single,0,3,1,1,Executive,17325,,,,,,
200177,2,2,19,Self Enquiry,1,8,Salaried,Male,4,Basic,3,Single,0,5,0,0,Executive,16102,,,,,,
200182,2,3,41,Self Enquiry,3,26,Small Business,Female,3,Basic,4,Single,1,4,0,2,Executive,18140,,,,,,
200192,4,2,35,Self Enquiry,1,29,Salaried,Male,4,Deluxe,3,Divorced,1,4,1,1,Manager,20916,,,,,,
200204,1,3,38,Self Enquiry,1,35,Small Business,Male,3,Deluxe,5,Divorced,1,3,0,1,Manager,21673,,,,,,
200205,2,2,29,Self Enquiry,3,33,Small Business,Female,3,Standard,3,Divorced,0,3,1,1,Senior Manager,22639,,,,,,
200210,2,2,32,Self Enquiry,3,10,Small Business,Male,5,Standard,3,Divorced,0,2,1,1,Senior Manager,25400,,,,,,
200214,6,2,30,Self Enquiry,1,9,Large Business,Female,3,Basic,5,Single,1,4,1,1,Executive,17657,,,,,,
200216,6,2,30,Company Invited,3,32,Small Business,Female,4,Deluxe,5,Unmarried,0,2,0,1,Manager,21696,,,,,,
200217,1,2,29,Self Enquiry,1,6,Large Business,Male,3,Basic,3,Single,0,2,0,0,Executive,17058,,,,,,
200229,2,2,29,Self Enquiry,1,24,Small Business,Male,4,Basic,3,Single,1,3,0,1,Executive,17389,,,,,,
200234,6,2,33,Self Enquiry,1,20,Small Business,Male,3,Basic,3,Divorced,1,2,0,1,Executive,17436,,,,,,
200236,1,2,33,Self Enquiry,1,8,Salaried,Female,3,Basic,5,Divorced,0,3,1,0,Executive,17707,,,,,,
200250,7,3,37,Company Invited,1,16,Small Business,Male,3,Standard,3,Married,0,3,1,2,Senior Manager,25048,,,,,,
200271,2,2,47,Company Invited,1,35,Salaried,Male,3,Standard,4,Divorced,1,3,1,0,Senior Manager,26849,,,,,,
200286,4,2,44,Company Invited,1,30,Salaried,Male,3,Basic,3,Married,1,5,0,1,Executive,18161,,,,,,
200288,3,2,26,Self Enquiry,1,22,Small Business,Male,3,Basic,4,Married,1,2,1,1,Executive,17373,,,,,,
200293,2,2,26,Self Enquiry,3,10,Small Business,Male,4,Deluxe,3,Single,1,2,1,1,Manager,20828,,,,,,
200296,2,2,18,Self Enquiry,1,9,Salaried,Male,3,Basic,3,Single,0,4,0,0,Executive,16420,,,,,,
200317,3,2,52,Self Enquiry,1,14,Small Business,Male,,Deluxe,4,Divorced,0,2,1,1,Manager,19941,,,,,,
200327,5,2,39,Self Enquiry,3,9,Small Business,Female,3,Deluxe,3,Divorced,1,4,1,1,Manager,20238,,,,,,
200336,2,3,29,Self Enquiry,1,14,Salaried,Male,5,Basic,5,Divorced,1,3,1,1,Executive,17119,,,,,,
200357,2,2,21,Company Invited,3,6,Large Business,Female,4,Basic,4,Single,1,5,1,1,Executive,17174,,,,,,
200363,2,2,33,Self Enquiry,3,11,Small Business,Female,3,Basic,3,Single,1,2,1,0,Executive,17851,,,,,,
200366,2,2,41,Company Invited,3,10,Small Business,Male,3,Deluxe,4,Unmarried,0,3,1,0,Manager,24355,,,,,,
200368,3,3,40,Self Enquiry,3,28,Small Business,Male,4,Deluxe,3,Divorced,1,3,1,1,Manager,21380,,,,,,
200370,2,2,21,Self Enquiry,3,18,Salaried,Female,2,Basic,4,Single,0,5,0,1,Executive,17716,,,,,,
200378,1,3,34,Company Invited,3,25,Small Business,Male,2,Deluxe,3,Single,1,2,1,2,Manager,20304,,,,,,
200382,1,3,26,Company Invited,1,9,Large Business,Male,3,Basic,5,Single,0,3,0,2,Executive,18102,,,,,,
200385,19,2,30,Company Invited,1,10,Large Business,Male,3,Basic,3,Single,1,4,1,1,Executive,17285,,,,,,
200414,2,3,24,Self Enquiry,3,6,Large Business,Female,3,Basic,4,Single,1,4,1,2,Executive,18202,,,,,,
200415,1,2,34,Company Invited,3,12,Small Business,Female,5,Basic,3,Married,0,4,1,1,Executive,17351,,,,,,
200421,6,3,29,Self Enquiry,1,31,Large Business,Female,4,Basic,4,Divorced,0,3,0,2,Executive,17546,,,,,,
200422,2,2,19,Self Enquiry,2,8,Large Business,Male,4,Basic,3,Single,0,3,1,1,Executive,17564,,,,,,
200435,1,2,33,Self Enquiry,1,21,Small Business,Male,3,Standard,3,Divorced,1,5,0,0,Senior Manager,28610,,,,,,
200439,4,3,31,Company Invited,1,26,Salaried,Male,3,Standard,3,Divorced,0,3,1,0,Senior Manager,24824,,,,,,
200440,1,2,34,Company Invited,2,29,Salaried,Female,3,Standard,5,Married,1,3,1,0,Senior Manager,24950,,,,,,
200453,1,2,26,Company Invited,2,23,Salaried,Female,3,Basic,3,Married,1,5,0,1,Executive,17741,,,,,,
200457,2,3,18,Company Invited,3,11,Small Business,Male,3,Basic,4,Single,1,4,1,2,Executive,16878,,,,,,
200463,2,3,26,Self Enquiry,1,30,Large Business,Male,5,Basic,3,Single,1,3,1,2,Executive,17340,,,,,,
200469,1,2,32,Company Invited,3,,Salaried,Male,2,Deluxe,3,Divorced,0,3,1,1,Manager,19707,,,,,,
200479,2,2,24,Company Invited,1,13,Salaried,Female,3,Basic,3,Divorced,1,4,0,0,Executive,17886,,,,,,
200480,2,3,30,Company Invited,3,18,Salaried,Male,4,Basic,5,Divorced,0,5,1,0,Executive,17033,,,,,,
200495,1,2,27,Self Enquiry,3,8,Small Business,Male,3,Basic,5,Married,0,5,0,1,Executive,18041,,,,,,
200513,2,2,20,Self Enquiry,1,16,Small Business,Male,3,Basic,3,Single,1,5,0,0,Executive,16009,,,,,,
200514,2,3,33,Company Invited,1,9,Salaried,Male,3,Basic,5,Single,1,5,1,2,Executive,18348,,,,,,
200525,1,3,24,Self Enquiry,3,,Salaried,Female,3,Deluxe,3,Single,0,2,1,0,Manager,19577,,,,,,
200528,4,2,50,Company Invited,3,14,Large Business,Male,3,Deluxe,3,Divorced,1,5,1,0,Manager,21796,,,,,,
200540,1,3,28,Self Enquiry,1,6,Salaried,Female,5,Basic,4,Single,1,2,1,0,Executive,17216,,,,,,
200547,7,2,42,Company Invited,1,25,Small Business,Male,2,Basic,3,Married,1,3,1,1,Executive,17759,,,,,,
200562,2,3,33,Self Enquiry,1,6,Salaried,Male,3,Basic,3,Single,1,3,1,0,Executive,17686,,,,,,
200566,5,3,47,Company Invited,3,33,Salaried,Female,1,Deluxe,3,Unmarried,1,4,1,2,Manager,21397,,,,,,
200568,6,3,55,Self Enquiry,1,8,Small Business,Male,3,King,5,Divorced,1,2,1,,VP,34859,,,,,,
200573,7,2,26,Self Enquiry,3,14,Large Business,Male,4,Deluxe,5,Single,0,3,1,1,Manager,20326,,,,,,
200585,2,3,23,Self Enquiry,1,12,Salaried,Male,1,Basic,5,Divorced,1,3,1,2,Executive,16601,,,,,,
200589,2,2,29,Self Enquiry,1,6,Salaried,Female,4,Basic,5,Divorced,1,2,0,0,Executive,17319,,,,,,
200591,6,3,33,Self Enquiry,3,22,Small Business,Female,3,Deluxe,5,Single,0,3,1,0,Manager,20324,,,,,,
200595,1,2,58,Self Enquiry,1,8,Salaried,Male,3,King,4,Single,1,3,1,1,VP,34246,,,,,,
200607,2,2,49,Self Enquiry,3,17,Small Business,Female,3,Standard,3,Divorced,0,4,0,1,Senior Manager,22654,,,,,,
